subject,predicate,object
recorded solo albums,Justo Abraham,Abraham
had children with,Walter Montagu Douglas Scott,William Montagu Douglas Scott
had children with,Walter Montagu Douglas Scott,Henry Douglas- Scott- Montagu
was lifelong friend with,Walter Montagu Douglas Scott,later served as godmother to
from,1982 to 1993,director of Sogn Folk Museum
from,1993 to 2010,director of Maihaugen
was Quebec lawyer,judge,seigneur political figure
is place of one's birth,place of one's ancestors,place of origin of ethnic group
wrote,directed,produced film spin-off
ranked,Holly,number 13 in its list of 100 Greatest Artists
is,born on,9 July 1956
is,from,"Nanterre, Hauts- de- Seine"
is,known as,Bernie Bonvoisin
was,singer of,Trust
was,singer of,AC DC
was,one of the last songs by,Bon Scott
was,one of the best friends of,Bernie Bonvoisin
5th Earl of Strathmore Kinghorne,son of,John Lyon
5th Earl of Strathmore Kinghorne,died fighting with,Jacobites
5th Earl of Strathmore Kinghorne,died in,The Battle of Sheriffmuir
was son of,Patrick Lyon,3rd Earl of Strathmore Kinghorne
was son of,John Lyon,4th Earl of Strathmore Kinghorne
was succeeded as Earl by,John Lyon,5th Earl of Strathmore Kinghorne
was third son of,John Bowes,9th Earl of Strathmore Kinghorne
was third son of,Mary Bowes,Countess of Strathmore Kinghorne
Countess of Strathmore Kinghorne,died on,28 April 1800
Countess of Strathmore Kinghorne,known as,The Unhappy Countess
directed,last film in,1964
was voted,Greatest Indian Actor of All Time,on occasion of Centenary of Indian Cinema
served as,Chief Minister of Andhra Pradesh between,1983 and 1995
became,5th Earl of Balcarres on,25 July 1736
matriculated at,"Christ Church, Oxford on",8 June 1870
was,father of,Blanche Georgiana FitzRoy
was,daughter of,Edward Sholto Douglas-Pennant
gave,family properties to,people of Australia
properties,comprising,Bundanon on Shoalhaven River
horse-drawn streetcar,built at Stephenson's works,named John Mason
spent time in,mental asylum,15 years
finished third at,2019 German Grand Prix,third podium of his career
in his debut race for,Red Bull Racing,under Dutch flag
"Austin, Texas",plays locally in around Texas major cities,especially Houston
"Austin, Texas",plays locally in around Texas major cities,occasionally in Dallas Fort Worth
published in,Ro Piedras Editorial de la Universidad de Puerto Rico,1996
published in,Plaza Mayor,2000
was inducted as,Honorary Member of Federacin Latinoamericana de Facultades de Comunicacin (FELAFACS- Latin American Federation of Communication Colleges),in 2003
was,Visiting Scholar as Erasmus Mundus en tude du spectacle vivant,in 2012
was,Visiting Scholar as Erasmus Mundus en tude du spectacle vivant,in 2013
is a program of,University of A Corua,in Spain
is a program of,University of Seville,in Spain
most notably,worked with,Vera June Miles
appeared as,himself in,1948 comedy Film Without Title
acted as,lead actress in,Malayalam film Summer in Bethlehem
created with,Henning Bahs,Olsen Gang feature films
"and Jeanne de Bar, Countess of Marle Soissons",descended from,"Mary, Queen of Scots, King Henry IV of France subsequent Bourbon kings of France"
"and Jeanne de Bar, Countess of Marle Soissons",had wife,"Jeanne de Bar, Countess of Marle Soissons"
written by,Sidney Salkow,Earl Felton
acted as regent of,County of Bar from,1344 until 1353
was,second son of,"Albert IV, Prince of Anhalt-Kthen"
was inducted into,Rock Roll Hall of Fame,in 2019
has been named,one of greatest guitarists of all time,by publications including Rolling Stone
soundtrack for film Bodysong,was released in,2003
was director of,Toledo Museum of Art,from 2010 to 2019
directed TV dramas for,Channel 7,Suparb Buroot Look Puchai
directed TV dramas for,Channel 7,Hua Jai Tuan
directed TV dramas for,Channel 7,Roy Rak Rang Kaen
directed TV dramas for,Channel 7,Ballang Hong
built,"St. Brides Farm in Upperville, VA between",1916 and 1917
development of,Civil War,concludes trilogy
became,Count of Hesbaye,by virtue of his marriage
was,early supporter of,Charles Martel
is portrayed as,husband of daughter of Charles Martel,discredited
was succeeded by,his nephew Cancor,as Count of Hesbaye
was,Count of Hainaut,from approximately 940 until his exile in 958
from,1982 to 1993,was director of Sogn Folk Museum
from,1993 to 2010,was director of Maihaugen
was Margrave of,Baden-Durlach from,1659 until his death
was,father of,Jane Elizabeth Leslie
was,first wife of,Hannah Howard
was,father of,Hannah Howard
was,daughter of,Matthew Howard of Thorp
was,wife of,John Leslie 10th Earl of Rothes
was director of,National Gallery of Australia (Canberra) from,1997 to 2004
was,great grandfather of Ottoman Empire founder,Osman I
in,1948,followed by
in,1948,with film biography of Johann Friedrich Bttger
in,1948,The Blue Swords
was entrusted to,Dartford Priory between,1486 and 1492
was Head of House of Oldenburg from,10 February 1965 until his death on,30 September 1980
7th Earl of Darnley,died on,31 October 1900
7th Earl of Darnley,was born on,21 August 1851
7th Earl of Darnley,was styled Lord Clifton until,1896
7th Earl of Darnley,played first-class cricket for,Kent
7th Earl of Darnley,was born and died at,"Cobham Hall, Cobham, near Gravesend in Kent"
7th Earl of Darnley,"matriculated at Christ Church, Oxford on",8 June 1870
7th Earl of Darnley,succeeded his father as Earl of Darnley in,1896
was 4th Earl of Orrery,father of,Lady Elizabeth Cecil
was 4th Earl of Orrery,father of,John Boyle
was 4th Earl of Orrery,father of,"Charles Bruce , 5th Earl of Elgin 9th Earl of Kincardine"
was 5th Earl of Elgin 9th Earl of Kincardine,father of,"Martha Bruce , Countess of Elgin Kincardine"
8th Earl of Kincardine,died on,8 September 1740
8th Earl of Kincardine,son of,"Thomas Bruce, 7th Earl of Kincardine"
studied at,cole des Beaux-Arts in Paris from,1905 to 1907
studied at,cole des Beaux- Arts in Paris,from 1905 to 1907
is,second wife of,"George III, Count of Erbach-Breuberg"
has,third (second surviving) son,"Louis I, Count of Erbach"
has,seventh child,"Louis I, Count of Erbach"
directed,Marathi film,Dost Asava Tar Asa
directed,Marathi film,Deven Varma Padma Chavan
was director of,Toledo Museum of Art from,2010 to 2019
had seven children by his wife,Maureen OSullivan,are
was British nobleman,politician,peer
served as,Hereditary High Sheriff of Westmorland from,1684 to 1729
held office of,M.P. for Appleby,between 1668 and 1679
succeeded to title of,6th Earl of Isle of Thanet,on 27 April 1680
held office of,Lord-Lieutenant of Westmorland,between 1685 and 1687
held office of,Lord-Lieutenant of Cumberland,between 1685 and 1687
succeeded to title of,18th Lord Clifford,on 12 December 1691
was invested as,Privy Counsellor,from 1703 to 1707
was invested as,Privy Counsellor,from 1711 to 1714
held office of,Lord-Lieutenant of Cumberland,between 1712 and 1714
was sworn,Privy Counsellor in,1703
was noted by,Swift for,piety charity
died,and his title passed to,his nephew Sackville Tufton
9th Earl of Thanet,succeeded to his title in,April 1786
9th Earl of Thanet,died on,January 1825
8th Earl of Thanet,died in,April 1786
died childless,was succeeded by,Thomas
made,science fiction movie,Weltraumschiff I startet Space Ship I Launches
died,on,13 June 1963
was director of,Toledo Museum of Art in Ohio from,2010 to 2019
with fellow rappers,E- Sir,Bigpin
stars Camilla Arfwedson,Roxanne McKee,Doug Bradley
beyond,his election acceptance speech,received into Academy Franois- Timolon de Choisy Franois Fnelon
beyond,his election acceptance speech,left no writing
beyond,his election acceptance speech,nothing memorable to his contemporaries
was Director of,Indian Intelligence Bureau between,September 1975 and February 1980
collaborated with,Steven Spielberg,for over 40 years
refers to,Kim Jong-un as,Marshal
refers to,Kim Jong-un as,Dear Respected
Count of Oldenburg- Delmenhorst,was,Count of Oldenburg from 1482 until his death
descendants,through dynastic marriages,are ancestor of many European Royal houses
has served as,director-for-hire for material he did not write,Cop Out (2010)
has served as,director-for-hire for material he did not write,various television series episodes
MallBrats,were announced in,March 2015
directed film in,1949,Apenas un delincuente
made American films in,1953,Man in Attic
made American films in,1954,Black Tuesday
worked with Hollywood actors in,1953,Man in Attic
worked with Hollywood actors in,1954,Black Tuesday
nominated for,Directors Guild of America Award for Outstanding Directing - Feature Film,My Six Convicts
nominated for,Directors Guild of America Award for Outstanding Directing - Feature Film,1952
portrays character in,The Grudge,Kayako Saeki
portrays character in,The Grudge,Toshio Saeki
portrays character in,The Grudge,Takeo Saeki
documentaries have gained awards in,Britain worldwide,BAFTA honors
was Director of,Indian Intelligence Bureau between,September 1975 February 1980
story,The Singers Heart,expressed her professional ambitions
book,The Professors Daughter,was very popular
published,Her Boston Experiences,under pen name of Margaret Allston
left Elmfield in,contentious circumstances,reference in Elmfield archives
became,Lady of Bourbon,after her father's death
6th Earl Poulett,in House of Lords,Conservative party member
was,director of,It was Rollins final film
was introduced to,Thy Nga Paris By Night by,Calvin Hiep
marriage to,Emperor Huis,was result of insistence by Empress Dowager L
marriage to,Emperor Huis,was childless
marriage to,Emperor Huis,was childless with Emperor Huis
marriage to,Empress Zhang Yan,was childless with Empress Zhang Yan
2nd Baron le Despenser,born around,"c. 1365 in Nettlestead, Suffolk, England"
was,father of,Eleanor de Clare
Baroness Berkeley,daughter of,Eleanor de Clare
1st Baron le Despencer,by,Lady Elizabeth Burghersh
2nd Baron Burghersh,died,1107
is in,West Azerbaijan Province,Iran
had population of,359 in 2006 census,79 families
inherited,countship of Soissons upon his father's death in,1272
were at height of their popularity as on-screen couple at time of movie's release,at time of movie's release,at time of movie's release
Lady of Wales,wife of,"Llywelyn Great, Prince of Wales, Gwynedd"
Prince of Portugal,was Prince of Portugal from,1535 to 1537
Emanuele Ruspoli,was named,first prince of Poggio- Suasa
de Khevenhller- Metsch Borbn,dei Principi Ruspoli,was Italian Spanish aristocrat
worked for,Arbeiterbladet from,1935 to 1980
so that,Maryam Rajavi could become spouse of,Massoud Rajavi
Her film breakthrough came with her starring role as Evelyn Carnahan in,Evelyn Carnahan,The Mummy (1999)
engaged to,filmmaker Darren Aronofsky from,2005 to 2010
first published,What is God ?,1963
had compositions,collected in,European Music at Ottoman Court
was found dead,six days later under,unnatural mysterious circumstances
The Half-drowned King The Sea Queen,cover lives of,Eysteins children
and Mary of Burgundy,were parents of,Elisabeth of Cleves
is comedy drama film,1974 Italian film,1974 film
he controlled while at,Denham Studios,went by uncredited
Helen Hart,father-in-law of,Stu Hart
is Alan Turing,is a character in,Breaking Code
unusual way when,babies are born on airplane or at sea,depends on law of countries involved
was,close friend of,Hans Albers
was director of,SRI International from,1947 to 1955
Countess of Anjou,was,Margaret of Valois
was,second wife of,"Theobald III, Count of Blois"
