subject,predicate,object,sentence
Queen Hyojeong,born on,6 March 1831,"Queen Hyojeong ( 6 March 1831 – 2 January 1904 ) also known as Empress Dowager Myeongheon ( ) was Queen Consort of King Heonjong of Joseon , 24th monarch of Joseon Dynasty . She was of Hong clan ( ) br Heonjong of Joseon ( 8 September 1827 – 25 July 1849 ) was 24th king of Joseon Dynasty of Korea . He was grandson of Sunjo . His father was Crown Prince Hyomyeong ( posthumously named Ikjong ) , who died at age of 20 before becoming king his mother was Queen Sinjeong of Pungyang Jo clan . Heonjong was born three-years before Hyomyeongs death . James Armour ( 15 January 1730 – 20 September 1798 ) was master mason father of Jean Armour , therefore father-in- law of poet Robert Burns . Viscount was general in early Imperial Japanese Army . He was also father- in- law of Field Marshal Gen Sugiyama . Peter Burroughs ( born 27 January 1947 ) is British television film actor , director of Willow Management ."
Queen Hyojeong,died on,2 January 1904,"Queen Hyojeong ( 6 March 1831 – 2 January 1904 ) also known as Empress Dowager Myeongheon ( ) was Queen Consort of King Heonjong of Joseon , 24th monarch of Joseon Dynasty . She was of Hong clan ( ) br Heonjong of Joseon ( 8 September 1827 – 25 July 1849 ) was 24th king of Joseon Dynasty of Korea . He was grandson of Sunjo . His father was Crown Prince Hyomyeong ( posthumously named Ikjong ) , who died at age of 20 before becoming king his mother was Queen Sinjeong of Pungyang Jo clan . Heonjong was born three-years before Hyomyeongs death . James Armour ( 15 January 1730 – 20 September 1798 ) was master mason father of Jean Armour , therefore father-in- law of poet Robert Burns . Viscount was general in early Imperial Japanese Army . He was also father- in- law of Field Marshal Gen Sugiyama . Peter Burroughs ( born 27 January 1947 ) is British television film actor , director of Willow Management ."
Queen Hyojeong,was Queen Consort of,King Heonjong of Joseon,"Queen Hyojeong ( 6 March 1831 – 2 January 1904 ) also known as Empress Dowager Myeongheon ( ) was Queen Consort of King Heonjong of Joseon , 24th monarch of Joseon Dynasty . She was of Hong clan ( ) br Heonjong of Joseon ( 8 September 1827 – 25 July 1849 ) was 24th king of Joseon Dynasty of Korea . He was grandson of Sunjo . His father was Crown Prince Hyomyeong ( posthumously named Ikjong ) , who died at age of 20 before becoming king his mother was Queen Sinjeong of Pungyang Jo clan . Heonjong was born three-years before Hyomyeongs death . James Armour ( 15 January 1730 – 20 September 1798 ) was master mason father of Jean Armour , therefore father-in- law of poet Robert Burns . Viscount was general in early Imperial Japanese Army . He was also father- in- law of Field Marshal Gen Sugiyama . Peter Burroughs ( born 27 January 1947 ) is British television film actor , director of Willow Management ."
King Heonjong of Joseon,born on,8 September 1827,Heonjong of Joseon ( 8 September 1827 – 25 July 1849 ) was the 24th king of the Joseon Dynasty of Korea.
King Heonjong of Joseon,died on,25 July 1849,Heonjong of Joseon ( 8 September 1827 – 25 July 1849 ) was the 24th king of the Joseon Dynasty of Korea.
King Heonjong of Joseon,was,24th king of Joseon Dynasty of Korea,Heonjong of Joseon ( 8 September 1827 – 25 July 1849 ) was the 24th king of the Joseon Dynasty of Korea.
King Heonjong of Joseon,grandson of,Sunjo,He was the grandson of Sunjo.
King Heonjong of Joseon,father,Crown Prince Hyomyeong,"His father was Crown Prince Hyomyeong ( posthumously named Ikjong), who died at the age of 20 before becoming king and his mother was Queen Sinjeong of the Pungyang Jo clan."
Crown Prince Hyomyeong,died,at age of 20,"His father was Crown Prince Hyomyeong ( posthumously named Ikjong), who died at the age of 20 before becoming king and his mother was Queen Sinjeong of the Pungyang Jo clan."
Crown Prince Hyomyeong,did not become,king,"His father was Crown Prince Hyomyeong ( posthumously named Ikjong), who died at the age of 20 before becoming king and his mother was Queen Sinjeong of the Pungyang Jo clan."
Crown Prince Hyomyeong,mother,Queen Sinjeong,"His father was Crown Prince Hyomyeong ( posthumously named Ikjong), who died at the age of 20 before becoming king and his mother was Queen Sinjeong of the Pungyang Jo clan."
Queen Sinjeong,is from,Pungyang Jo clan.,"His father was Crown Prince Hyomyeong ( posthumously named Ikjong), who died at the age of 20 before becoming king and his mother was Queen Sinjeong of the Pungyang Jo clan."
Peter Burroughs,born on,27 January 1947,"Peter Burroughs ( born 27 January 1947 ) is British television film actor , director of Willow Management . He is father- in- law of actor TV presenter Warwick Davis ."
Peter Burroughs,is father- in- law of,Warwick Davis,"Peter Burroughs ( born 27 January 1947 ) is British television film actor , director of Willow Management . He is father- in- law of actor TV presenter Warwick Davis ."
Peter Burroughs,is father- in- law of,John F. Kennedy,"John Vernou Black Jack Bouvier III ( May 19 , 1891 – August 3 , 1957 ) was American Wall Street stockbroker socialite . He was father of First Lady Jacqueline Kennedy Onassis of socialite Lee Radziwill , was father- in- law of John F. Kennedy ."
John F. Kennedy,father of,Jacqueline Kennedy Onassis,"John Vernou Black Jack Bouvier III ( May 19 , 1891 – August 3 , 1957 ) was American Wall Street stockbroker socialite . He was father of First Lady Jacqueline Kennedy Onassis of socialite Lee Radziwill , was father- in- law of John F. Kennedy ."
