subject,predicate,object
beat Florida State on November 7,NC State on November 14,Virginia on November 21
is,architect in,"Phoenix, Arizona area"
Jack Marshall,composed by,Jack Marshall
aired from,"November 12, 2010","to January 6, 2012"
aired from,"October 9, 2009","to October 15, 2010"
Justin,Max,save world from being destroyed by asteroid
named,twentieth greatest witch in television history in,2008
as character in,Wizards of Waverly Place television movie,as Bianca
as character in,Wizards of Waverly Place television movie,as Alex Russo
as character in,Wizards of Waverly Place television movie,as young wizard in training
number at,Battle of Leipzig,"191,000"
number at,Battle of Leipzig,"300,000"
of Once Upon Time,announced on,"March 3, 2016"
of Once Upon Time,premiered on,"September 25, 2016"
second foray into,live-action directing after,Ted
co-wrote script of,A Million Ways to Die in West,along with MacFarlane Wild
co-produced by,Mik Moore Ari Wallach,and MacFarlane Wild
partners are,Michael Cera Reggie Watts Tim Heidecker Eric Wareheim,also known as Tim Eric
confirmed during,TimesTalk event,at The Times Center
confirmed during,TimesTalk event,"on November 10, 2009"
confirmed during,TimesTalk event,next day Kings official site posted
told not to speak of,Navajo code talkers to,parents wife
reduced tilt between,1993 and 2001,to 3.97 degrees
is,home to,Leaning Tower of Pisa
achieved power,influence in,12th 13th centuries
Leaning Tower of,is located behind,cathedral
construction of bell-chamber only added in,five years after construction began,when building had reached third floor level
construction of bell-chamber only added in,five years after construction began,weak subsoil poor foundation led to chapel
construction of bell-chamber only added in,five years after construction began,chapel is in 1132
construction of bell-chamber only added in,five years after construction began,maybe after architect worked on it
consisted of engineers,mathematicians,historians
and,tardive dystonia,may occur simultaneously in patient
and,good Alex,end up in battle
brought back ideas of,Italian Renaissance architecture to,17th-century England
drives off,Shelob by wounding her with Frodos blade,Sting
produced in,United States,varies between regions
lung cancer in,"Santa Monica, California",at age
appeared in,Mr. Novak,three times
appeared in,McCloud,co-starring with Dennis Weaver
appeared in,McCloud,from 1970 until 1977
appeared in,The Judgment,as Lloyd Chandler
appeared in,The Fugitive,as witness
appeared in,The Fugitive,between 1964 and 1967
appeared in,The Fugitive,in two-part finale
appeared in,The Fugitive,four episodes
appeared in,The Fugitive,at time became highest-rated program in television history
served in,United States Army,during World War II
was an alumnus of,American Academy of Dramatic Arts,in New York City
released,hits from,1950-1955
second season,began production in,November 2017
second season,premiered on Netflix on,"July 6, 2018"
second season,premiered on CBC on,"September 23, 2018"
introduced species recaptured in,2001-2002,15 of 29 species
introduced species recaptured in,2001-2002,Onthophagus gazella
introduced species recaptured in,2001-2002,Euoniticellus intermedius
aired from,"April 2, 1956","to September 17, 2010"
bought,The Star,from
gave,speech on,"March 5, 1946"
gave,speech in,"Fulton, Missouri"
gave,speech at,Westminster College
was perceived by,Soviets,as incitement for West to begin war with USSR
first recipients of Bharat Ratna were,C. Rajagopalachari,honoured in 1954
first recipients of Bharat Ratna were,Sarvepalli Radhakrishnan,honoured in 1954
first recipients of Bharat Ratna were,C. V. Raman,honoured in 1954
first recipients of Bharat Ratna were,C. Rajagopalachari,posthumously
first recipients of Bharat Ratna were,Sarvepalli Radhakrishnan,posthumously
first recipients of Bharat Ratna were,C. V. Raman,posthumously
first recipients of Bharat Ratna were,Lal Bahadur Shastri,posthumously
and Toyota Center,are located in,Downtown Houston
compiling .279 batting average,3 home runs,10 RBI
aired from,"January 14, 2013","to January 31, 2014"
first time from,"July 1 to August 5, 2015",on bTV Lady
is,elected in,partisan Primary election for four-year term of SRSO
2007,2009,"qualifying tournament with 20-over format to prepare teams with 6 participants each receive 250,000 in prize money"
won World Series titles in,2004,2007
won World Series in,1907,1908
appeared to,Colleen,while she was drowning
tutored,Brad Johnson,in 2002
tutored,Brad Johnson,at Bowling Green
tutored,Brad Johnson,from Bowling Green in 1976
tutored,Tom Brady,at Michigan
tutored,Brian Griese,at Michigan
tutored,offensive coordinator,at Butler
tutored,offensive coordinator,at DePauw
preparation into specialties,feet,trotters
preparation into specialties,head,head cheese (brawn)
preparation into specialties,chitterlings blood,blood pudding or black pudding
had no legacy plans for,newly built stadiums,in contrast to North American bid
comprise of,Croatia,Mexico
Don,Raph Mikey,were also released
played in,How I Met Your Mother as,Marshall Eriksen's father
played in,How I Met Your Mother as,Marvin
remained,Dominion of Crown until 26 January 1950,establishing Republic of India
remained,Dominion of Crown until 26 January 1950,until 1956
remained,Dominion of Crown until 26 January 1950,adopted first republican constitution
is,daughter of,Gaia
is,daughter of,Uranus
is,sister of,Hyperion
is,brother of,Theia
