subject,predicate,object,metadata
Phillips,plays,role of real life Chicano,"Phillips playing role of real life Chicano , to which Luis Valdez responded Why not ?"
Luis Valdez,responded to,Why not ?,"Phillips playing role of real life Chicano , to which Luis Valdez responded Why not ?"
The Filipinos,are,Hispanics of Asia,"The Filipinos are Hispanics of Asia , whats problem ?"
The Filipinos,are,Hispanics,"The Filipinos are Hispanics of Asia , whats problem ?"
La Bamba (film),is written by,Luis Valdez,La Bamba is 1987 American biographical film written by Luis Valdez that follows life career of Chicano rock n roll star Ritchie Valens
La Bamba (film),follows life career of,Ritchie Valens,La Bamba is 1987 American biographical film written by Luis Valdez that follows life career of Chicano rock n roll star Ritchie Valens
Tigers,appear in,ACC Championship game,Tigers third straight appearance in ACC Championship game
2017 ACC Championship Game,was played on,"December 2, 2017","The 2017 ACC Championship Game was played on December 2, 2017"
2017 ACC Championship Game,held at,"Bank of America Stadium in Charlotte, North Carolina","The game was held at Bank of America Stadium in Charlotte , North Carolina"
Clemson,emerged victorious in,2017 ACC Championship Game,"Clemson emerged victorious became 2017 ACC champions , beating Miami 38-3"
Clemson,beaten Miami in,2017 ACC Championship Game,"Clemson\u2013Florida State football rivalry The Clemson\u2013Florida State football rivalry is American college football rivalry between Clemson Tigers football team of Clemson University Florida State Seminoles football team of Florida State University . The schools have played each other annually since 1992 . Both universities are members of Atlantic Coast Conference ( ACC ) , since ACC initiated divisional play in 2005 , both teams have competed in Tigers had already defeated held head-to-head tiebreaker over ."
Clemson,defeated Florida State in,2017 ACC Championship Game,"Clemson\u2013Florida State football rivalry The Clemson\u2013Florida State football rivalry is American college football rivalry between Clemson Tigers football team of Clemson University Florida State Seminoles football team of Florida State University . The schools have played each other annually since 1992 . Both universities are members of Atlantic Coast Conference ( ACC ) , since ACC initiated divisional play in 2005 , both teams have competed in Tigers had already defeated held head-to-head tiebreaker over ."
The schools,have played each other annually since,1992,The schools have played each other annually since 1992 .
