subject,predicate,object,sentence
Lord Fairfax,Lord Leven,defeated,Royalist forces at Battle of Marston Moor
The Anglo-Saxons,established a settlement in,Langham,was possibly called Laingaham
Private courier services,such as,FedEx United Parcel Service (UPS),compete with USPS
US Postal Service,has increased productivity each year from,2000 to 2007,through increased automation
Marlin Bree,has twice won,West Marine Writers Award,for feature articles published in The Ensign
Marlin Bree,won,2004 award for A Solo Sailor Meets His Storm of Century The Day All Hell Broke Loose,which appeared in June 2003 issue
Marlin Bree,won,2008 award for The Old Man Inland Sea,which was published in January–February 2007 issue
Snoops,along with,The Practice,sustained large audiences
Crosby,starred with,Bob Hope,in seven Road to musical comedies between 1940 and 1962
Snoopy,is loyal,innocent,imaginative good-natured beagle
Hughes Hercules flying boat,transported by barge,train,truck
Baron Kriminel,syncretized with,Saint Martin de Porres,"because his feast day is November 3, day after Fete Ghede"
Baron Kriminel,presented with food,during possession,threatens to kill surrounding people who violate them
USSR,established,diplomatic relations with,United States in November 1933
United States,was among,four major Allies against,Axis powers during World War II
North Atlantic Treaty,was signed by,"U.S., Canada, several Western European nations","in Washington, D.C. on 4 April 1949"
North Atlantic Treaty,established,North Atlantic Treaty Organization (NATO),to provide collective security against Soviet Union
USSR,signed,first bilateral treaty with,United States Soviet RussiaUSSR in June 1964
NATO,has principles for enlargement,three principles,"democracy, individual liberty, rule of law"
Willy Claes,was NATO Secretary General,noted,1995 study on enlargement process
1995 study,discussed,Partnership for Peace North Atlantic Cooperation Council,could assist in enlargement process
1997 Madrid summit,heads of state of NATO issued,Madrid Declaration on Euro-Atlantic Security,happy to be living under democratic rule
1997 Madrid summit,heads of state of NATO,regretted,their Fascist pasts
Lloyd Braun,and,Susan Lyne,were fired
Judge Parker,is,stripped of his badge for,excessive violence fatness drunkenness
Paul Bogart,directed,Broadway Bound (film),written by Neil Simon
Leon Spinks,defeated by,Pablo Romero,at World Amateur Championships in 1986
Leon Spinks,defeated by,Pablo Romero,for 178 pound title
Cassius Clay-Sonny Liston,fight,debuted in,Batman 550
Cassius Clay-Sonny Liston,fight,debuted in,"The Honeymooners episode, TV Or Not TV"
